28.10.2019 04:30:45: 0h 3min | Josh Bernstein(76561198071574538) | Teleport In Facing Direction (10m steps) - 1
28.10.2019 04:30:46: 0h 3min | Jackson(76561198192442694) | Added 1 boltcutters to Jackson!
28.10.2019 04:32:05: 0h 5min | Josh Bernstein(76561198071574538) | spawning MQ-4A Greyhawk (B_UAV_02_dynamicLoadout_F)
28.10.2019 04:33:22: 0h 6min | Josh Bernstein(76561198071574538) | Deleting B_UAV_02_dynamicLoadout_F @236189..
28.10.2019 04:33:56: 0h 7min | Josh Bernstein(76561198071574538) | spawning A-149 Gryphon (I_Plane_Fighter_04_F)
28.10.2019 04:35:34: 0h 8min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:08: 0h 9min | Jackson(76561198192442694) | spawning ZSU-39 Tigris (O_APC_Tracked_02_AA_F)
28.10.2019 04:36:29: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:29: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:31: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:31: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:31: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:31: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:31: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:31: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:32: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:32: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:32: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:32: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:32: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:32: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:32: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:33: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:33: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:33: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:33: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:33: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:33: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:33: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:34: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:34: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:34: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:34: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:34: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:35: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:35: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:35: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:35: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:35: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:36: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:36: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:36: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:36: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:36: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:36: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:37: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:37: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
28.10.2019 04:36:37: 0h 9min | Josh Bernstein(76561198071574538) | HealRepairNear
